sample,lbl
NA19058,1
NA19059,1
NA19060,1
NA19062,1
NA19063,1
NA19064,1
NA19065,1
NA19066,1
NA19067,1
NA19068,1
NA19070,0
NA19072,0
NA19074,1
NA19075,1
NA19076,1
NA19077,1
NA19078,0
NA19079,0
NA19080,1
NA19081,0
NA19082,1
NA19083,0
NA19084,0
NA19085,1
NA19086,1
NA19087,1
NA19088,1
NA19089,1
NA19090,1
NA19091,0
NA19092,1
NA19093,1
NA19095,0
NA19096,1
NA19098,1
NA19099,0
NA19102,0
NA19107,1
NA19108,1
NA19113,0
NA19114,1
NA19116,1
NA19117,1
NA19118,0
NA19119,0
NA19121,1
NA19129,1
NA19130,1
NA19131,0
NA19137,1
NA19138,1
NA19141,1
NA19143,0
NA19144,0
NA19146,1
NA19147,1
NA19149,0
NA19152,0
NA19153,0
NA19159,1
NA19160,1
NA19171,1
NA19172,0
NA19175,0
NA19184,0
NA19185,1
NA19189,1
NA19190,0
NA19197,0
NA19198,1
NA19200,0
NA19201,0
NA19204,0
NA19206,0
NA19207,0
NA19209,1
NA19210,1
NA19213,1
NA19214,0
NA19222,1
NA19223,1
NA19225,1
NA19235,0
NA19236,1
NA19238,0
NA19239,1
NA19247,0
NA19248,1
NA19256,0
NA19257,0
NA19307,0
NA19308,1
NA19309,0
NA19310,0
NA19312,0
NA19314,0
NA19315,1
NA19316,0
NA19317,1
NA19318,0
NA19319,1
NA19320,1
NA19321,0
NA19323,0
NA19324,1
NA19327,1
NA19328,0
NA19331,0
NA19332,0
NA19334,1
NA19338,1
NA19346,1
NA19347,1
NA19350,0
NA19351,1
NA19355,1
NA19360,1
NA19372,0
NA19374,0
NA19375,1
NA19376,0
NA19377,1
NA19378,1
NA19379,1
NA19380,0
NA19383,1
NA19384,0
NA19385,0
NA19390,1
NA19391,0
NA19393,0
NA19394,0
NA19395,0
NA19397,1
NA19399,1
NA19401,0
NA19403,1
NA19404,0
NA19428,0
NA19429,1
NA19430,0
NA19431,1
NA19434,1
NA19435,1
NA19436,1
NA19437,0
NA19438,0
NA19439,0
NA19440,0
NA19443,0
NA19445,0
NA19446,1
NA19448,0
NA19449,1
NA19451,1
NA19452,1
NA19454,1
NA19455,0
NA19456,0
NA19457,1
NA19461,0
NA19462,0
NA19463,0
NA19466,1
NA19467,1
NA19468,1
NA19471,1
NA19472,1
NA19473,0
NA19474,0
NA19475,0
NA19625,1
NA19648,1
NA19649,1
NA19651,1
NA19652,0
NA19654,0
NA19655,0
NA19657,0
NA19658,1
NA19661,0
NA19663,1
NA19664,0
NA19669,1
NA19670,0
NA19676,1
NA19678,1
NA19679,1
NA19681,0
NA19682,0
NA19684,0
NA19700,0
NA19701,0
NA19703,1
NA19704,0
NA19707,0
NA19711,0
NA19712,0
NA19713,0
NA19716,0
NA19717,1
NA19719,0
NA19720,0
NA19722,0
NA19723,0
NA19725,0
NA19726,1
NA19728,1
NA19729,1
NA19731,0
NA19732,0
NA19734,1
NA19735,0
NA19740,0
NA19741,0
NA19746,1
NA19747,0
NA19749,0
NA19750,1
NA19752,0
NA19755,0
NA19756,0
NA19758,1
NA19759,1
NA19761,0
NA19762,1
NA19764,1
NA19770,0
NA19771,1
NA19773,0
NA19774,0
NA19776,0
NA19777,1
NA19779,1
NA19780,0
NA19782,1
NA19783,1
NA19785,0
NA19786,0
NA19788,0
NA19789,0
NA19792,0
NA19794,1
NA19795,0
NA19818,0
NA19819,1
NA19834,0
NA19835,1
NA19900,0
NA19901,0
NA19904,1
NA19908,1
NA19909,1
NA19913,1
NA19914,1
NA19916,1
NA19917,1
NA19920,0
NA19921,1
NA19922,0
NA19923,1
NA19982,1
NA19984,1
NA20126,0
NA20127,0
NA20274,0
NA20276,0
NA20278,0
NA20281,1
NA20282,0
NA20287,0
NA20289,1
NA20291,0
NA20294,1
NA20296,1
NA20298,1
NA20299,0
NA20314,1
NA20317,1
NA20318,0
NA20320,0
NA20321,1
NA20332,1
NA20334,0
NA20339,0
NA20340,0
NA20342,0
NA20346,0
NA20348,1
NA20351,0
NA20355,1
NA20356,1
NA20357,0
NA20359,0
NA20362,1
NA20412,0
NA20502,1
NA20503,1
NA20504,1
NA20505,0
NA20506,0
NA20507,1
NA20508,1
NA20509,0
NA20510,1
NA20511,1
NA20512,1
NA20513,0
NA20514,0
NA20515,0
NA20516,1
NA20517,0
NA20518,0
NA20519,1
NA20520,0
NA20521,0
NA20522,0
NA20524,1
NA20525,1
NA20527,1
NA20528,0
NA20529,1
NA20530,1
NA20531,0
NA20532,1
NA20533,1
NA20534,0
NA20535,1
NA20536,0
NA20538,1
NA20539,1
NA20540,1
NA20541,0
NA20542,1
NA20543,0
NA20544,0
NA20581,1
NA20582,0
NA20585,1
NA20586,0
NA20587,1
NA20588,0
NA20589,0
NA20752,0
NA20753,1
NA20754,1
NA20755,0
NA20756,1
NA20757,1
NA20758,1
NA20759,0
NA20760,0
NA20761,0
NA20762,1
NA20763,1
NA20764,1
NA20765,1
NA20766,0
NA20767,1
NA20768,1
NA20769,1
NA20770,1
NA20771,1
NA20772,0
NA20773,1
NA20774,0
NA20775,1
NA20778,1
NA20783,0
NA20785,1
NA20786,1
NA20787,0
NA20790,1
NA20792,1
NA20795,0
NA20796,0
NA20797,1
NA20798,1
NA20799,1
NA20800,1
NA20801,1
NA20802,1
NA20803,0
NA20804,1
NA20805,1
NA20806,1
NA20807,1
NA20808,0
NA20809,0
NA20810,0
NA20811,1
NA20812,1
NA20813,1
NA20814,0
NA20815,1
NA20818,0
NA20819,1
NA20821,1
NA20822,1
NA20826,1
NA20827,0
NA20828,1
NA20832,0
NA20845,0
NA20846,1
NA20847,0
NA20849,1
NA20850,0
NA20851,1
NA20852,0
NA20853,0
NA20854,0
NA20856,0
NA20858,1
NA20859,0
NA20861,0
NA20862,0
NA20863,1
NA20864,0
NA20866,0
NA20867,0
NA20868,0
NA20869,0
NA20870,1
NA20872,1
NA20874,1
NA20875,0
NA20876,1
NA20877,1
NA20878,1
NA20881,1
NA20882,0
NA20884,0
NA20885,1
NA20886,1
NA20887,0
NA20888,1
NA20889,1
NA20890,1
NA20891,0
NA20892,0
NA20894,1
NA20895,1
NA20896,1
NA20897,1
NA20899,0
NA20900,0
NA20901,0
NA20902,1
NA20903,1
NA20904,1
NA20905,1
NA20906,1
NA20908,1
NA20910,0
NA20911,0
NA21086,0
NA21087,0
NA21088,1
NA21089,0
NA21090,1
NA21091,1
NA21092,0
NA21093,1
NA21094,1
NA21095,1
NA21097,1
NA21098,0
NA21099,0
NA21100,1
NA21101,0
NA21102,0
NA21103,0
NA21104,1
NA21105,1
NA21106,0
NA21107,0
NA21108,1
NA21109,1
NA21110,1
NA21111,1
NA21112,1
NA21113,1
NA21114,1
NA21115,0
NA21116,0
NA21117,0
NA21118,0
NA21119,1
NA21120,0
NA21122,0
NA21123,1
NA21124,0
NA21125,1
NA21126,1
NA21127,0
NA21128,1
NA21129,0
NA21130,0
NA21133,0
NA21135,1
NA21137,1
NA21141,1
NA21142,1
NA21143,0
NA21144,1
